iter	Passed	Remaining
582	12414	8879
583	12443	8863
584	12469	8845
585	12496	8828
586	12522	8810
587	12549	8793
588	12574	8774
589	12600	8756
590	12625	8737
591	12654	8721
592	12679	8702
593	12705	8684
594	12729	8664
595	12760	8649
596	12788	8632
597	12813	8613
598	12840	8595
599	12866	8577
600	12891	8558
601	12917	8540
602	12942	8521
603	12967	8501
604	12993	8483
605	13021	8465
606	13047	8447
607	13076	8430
608	13100	8410
609	13127	8392
610	13154	8374
611	13180	8355
612	13205	8337
613	13230	8317
614	13254	8297
615	13280	8279
616	13308	8260
617	13333	8241
618	13359	8222
619	13386	8204
620	13412	8185
621	13438	8166
622	13464	8147
623	13492	8129
624	13516	8109
625	13540	8089
626	13565	8070
627	13593	8052
628	13618	8032
629	13645	8013
630	13670	7994
631	13701	7978
632	13730	7960
633	13757	7942
634	13795	7929
635	13826	7913
636	13854	7894
637	13880	7875
638	13909	7858
639	13935	7838
640	13961	7819
641	13988	7800
642	14016	7782
643	14042	7762
644	14069	7743
645	14103	7728
646	14136	7712
647	14166	7695
648	14196	7678
649	14224	7659
650	14251	7640
651	14279	7621
652	14308	7603
653	14334	7583
654	14363	7565
655	14389	7545
656	14419	7527
657	14446	7508
658	14475	7490
659	14509	7474
660	14536	7455
661	14580	7444
662	14626	7434
663	14660	7418
664	14692	7401
665	14721	7382
666	14750	7364
667	14777	7344
668	14811	7328
669	14840	7309
670	14867	7289
671	14895	7270
672	14924	7251
673	14955	7233
674	14985	7215
675	15013	7195
676	15043	7177
677	15072	7158
678	15102	7139
679	15133	7121
680	15163	7103
681	15191	7083
682	15218	7063
683	15244	7042
684	15271	7022
685	15298	7002
686	15327	6983
687	15354	6963
688	15380	6942
689	15408	6922
690	15436	6902
691	15467	6884
692	15496	6864
693	15528	6846
694	15558	6827
695	15590	6809
696	15621	6791
697	15655	6773
698	15688	6755
699	15721	6737
700	15756	6720
701	15786	6701
702	15815	6681
703	15845	6662
704	15875	6643
705	15903	6622
706	15931	6602
707	15960	6582
708	15990	6562
709	16015	6541
710	16043	6521
711	16072	6501
712	16100	6480
713	16129	6461
714	16161	6441
715	16189	6421
716	16218	6401
717	16247	6381
718	16274	6360
719	16304	6340
720	16330	6319
721	16358	6298
722	16385	6277
723	16413	6257
724	16442	6236
725	16472	6217
726	16503	6197
727	16529	6175
728	16560	6156
729	16592	6136
730	16620	6116
731	16651	6096
732	16680	6075
733	16709	6055
734	16738	6034
735	16766	6014
736	16796	5993
737	16824	5972
738	16852	5952
739	16882	5931
740	16912	5911
741	16942	5890
742	16972	5870
743	17001	5849
744	17029	5829
745	17058	5808
746	17087	5787
747	17116	5766
748	17143	5744
749	17167	5722
750	17194	5701
751	17221	5679
752	17248	5657
753	17274	5636
754	17301	5614
755	17330	5593
756	17356	5571
757	17382	5549
758	17409	5527
759	17435	5506
760	17463	5484
761	17491	5463
762	17519	5441
763	17549	5421
764	17577	5399
765	17606	5378
766	17634	5357
767	17665	5336
768	17692	5314
769	17719	5292
770	17746	5271
771	17775	5249
772	17802	5228
773	17830	5206
774	17858	5184
775	17885	5162
776	17912	5140
777	17940	5119
778	17970	5098
779	18000	5077
780	18026	5054
781	18054	5033
782	18085	5012
783	18113	4990
784	18142	4968
785	18171	4947
786	18199	4925
787	18227	4903
788	18254	4881
789	18281	4859
790	18308	4837
791	18334	4815
792	18361	4793
793	18391	4771
794	18419	4749
795	18450	4728
796	18480	4707
797	18507	4684
798	18533	4662
799	18559	4639
800	18584	4617
801	18611	4594
802	18635	4571
803	18662	4549
804	18690	4527
805	18717	4505
806	18742	4482
807	18757	4457
808	18772	4432
809	18788	4407
810	18803	4382
811	18821	4357
812	18840	4333
813	18860	4309
814	18883	4286
815	18901	4261
816	18921	4238
817	18939	4213
818	18956	4189
819	18972	4164
820	18988	4140
821	19002	4114
822	19019	4090
823	19035	4065
824	19051	4041
825	19067	4016
826	19083	3992
827	19102	3968
828	19125	3945
829	19142	3920
830	19160	3896
831	19175	3871
832	19190	3847
833	19206	3822
834	19223	3798
835	19240	3774
836	19256	3750
837	19275	3726
838	19291	3701
839	19306	3677
840	19332	3654
841	19349	3630
842	19367	3607
843	19386	3583
844	19404	3559
845	19422	3535
846	19440	3511
847	19461	3488
848	19482	3465
849	19500	3441
850	19517	3417
851	19536	3393
852	19555	3370
853	19574	3346
854	19596	3323
855	19616	3299
856	19632	3275
857	19650	3252
858	19668	3228
859	19685	3204
860	19700	3180
861	19714	3156
862	19729	3131
863	19746	3108
864	19760	3084
865	19777	3060
866	19794	3036
867	19811	3012
868	19829	2989
869	19851	2966
870	19870	2942
871	19887	2919
872	19906	2895
873	19924	2872
874	19943	2849
875	19958	2825
876	19972	2801
877	19986	2777
878	19999	2753
879	20012	2729
880	20026	2705
881	20040	2681
882	20055	2657
883	20073	2634
884	20092	2610
885	20113	2588
886	20139	2565
887	20160	2542
888	20177	2519
889	20198	2496
890	20216	2473
891	20232	2449
892	20249	2426
893	20267	2403
894	20281	2379
895	20296	2355
896	20321	2333
897	20337	2310
898	20352	2286
899	20369	2263
900	20385	2239
901	20407	2217
902	20424	2193
903	20441	2170
904	20460	2147
905	20476	2124
906	20491	2101
907	20504	2077
908	20523	2054
909	20539	2031
910	20555	2008
911	20571	1984
912	20584	1961
913	20599	1938
914	20613	1914
915	20629	1891
916	20644	1868
917	20661	1845
918	20681	1822
919	20696	1799
920	20709	1776
921	20726	1753
922	20744	1730
923	20762	1707
924	20780	1684
925	20797	1661
926	20812	1638
927	20828	1616
928	20847	1593
929	20866	1570
930	20884	1547
931	20902	1525
932	20920	1502
933	20940	1479
934	20960	1457
935	20978	1434
936	21004	1412
937	21025	1389
938	21050	1367
939	21077	1345
940	21097	1322
941	21117	1300
942	21132	1277
943	21146	1254
944	21161	1231
945	21180	1209
946	21208	1186
947	21234	1164
948	21255	1142
949	21275	1119
950	21302	1097
951	21325	1075
952	21341	1052
953	21359	1029
954	21374	1007
955	21387	984
956	21403	961
957	21420	939
958	21435	916
959	21455	893
960	21477	871
961	21496	849
962	21512	826
963	21526	803
964	21545	781
965	21561	758
966	21577	736
967	21590	713
968	21603	691
969	21618	668
970	21633	646
971	21648	623
972	21664	601
973	21679	578
974	21697	556
975	21714	533
976	21748	511
977	21774	489
978	21792	467
979	21805	445
980	21819	422
981	21834	400
982	21849	377
983	21865	355
984	21880	333
985	21895	310
986	21915	288
987	21943	266
988	21969	244
989	21991	222
990	22007	199
991	22024	177
992	22043	155
993	22058	133
994	22073	110
995	22092	88
996	22107	66
997	22125	44
998	22140	22
999	22153	0
